,target,unlearned,retrain
0,0.6400,0.5200,0.4650
1,0.6400,0.5175,0.4650
2,0.6400,0.5225,0.4650
3,0.6400,0.4950,0.4650
4,0.6400,0.4825,0.4650
5,0.6400,0.5050,0.4650
6,0.6400,0.5025,0.4650
